,index,weight,indate,comments,date
176,304,63.0,0,,2016-06-06
177,305,62.7,0,,2016-06-07
178,306,62.0,0,,2016-06-08
179,307,62.5,0,,2016-06-09
180,308,62.3,0,,2016-06-10
181,309,62.1,0,,2016-06-11
182,310,61.8,0,,2016-06-12
183,311,62.5,0,,2016-06-13
184,312,62.5,0,,2016-06-14
185,313,63.1,0,,2016-06-15
186,314,62.1,0,,2016-06-16
187,315,62.8,0,,2016-06-17
188,316,62.1,0,,2016-06-18
189,317,62.3,0,,2016-06-19
190,318,62.5,0,,2016-06-20
191,319,63.5,0,,2016-06-21
192,320,62.7,0,,2016-06-22
193,321,62.5,0,,2016-06-23
194,322,62.5,0,,2016-06-24
195,323,62.1,0,,2016-06-25
196,324,63.3,0,,2016-06-26
197,325,62.6,0,,2016-06-27
198,326,62.3,0,,2016-06-28
199,327,62.5,0,,2016-06-29
200,328,62.1,0,,2016-06-30
201,329,63.2,0,,2016-07-01
202,330,62.4,0,,2016-07-02
203,331,62.0,0,,2016-07-03
204,332,62.5,0,,2016-07-04
205,333,62.3,0,,2016-07-05
206,334,63.9,0,,2016-07-06
207,335,61.4,0,,2016-07-07
208,336,62.5,0,,2016-07-08
209,337,63.3,0,,2016-07-09
210,338,62.5,0,,2016-07-10
211,339,62.9,0,,2016-07-11
212,340,62.5,0,,2016-07-12
213,341,62.9,0,,2016-07-13
214,342,63.1,0,,2016-07-14
215,343,62.7,0,,2016-07-15
216,344,63.1,0,,2016-07-16
217,345,62.9,0,,2016-07-17
218,346,63.0,0,,2016-07-18
219,347,62.4,0,,2016-07-19
220,348,62.0,0,,2016-07-20
221,349,62.2,0,,2016-07-21
222,350,62.0,0,,2016-07-22
223,351,61.9,0,,2016-07-23
224,352,61.6,0,,2016-07-24
225,353,62.0,0,,2016-07-25
226,354,62.3,0,,2016-07-26
227,355,62.6,0,,2016-07-27
228,356,62.9,0,,2016-07-28
229,357,61.7,0,,2016-07-29
230,358,61.6,0,,2016-07-30
231,359,61.9,0,,2016-07-31
232,360,61.4,0,,2016-08-01
233,361,61.3,0,,2016-08-02
234,362,61.6,0,,2016-08-03
235,363,61.3,0,,2016-08-04
236,364,61.4,0,,2016-08-05
237,365,61.4,0,,2016-08-06
238,366,61.2,0,,2016-08-07
239,367,61.1,0,,2016-08-08
240,368,61.0,0,,2016-08-09
241,369,61.7,0,,2016-08-10
242,370,61.6,0,,2016-08-11
243,371,61.4,0,,2016-08-12
244,372,61.8,0,,2016-08-13
245,373,61.6,0,,2016-08-14
246,374,61.8,0,,2016-08-15
247,375,62.3,0,,2016-08-16
248,376,61.9,0,,2016-08-17
249,377,61.7,0,,2016-08-18
250,378,61.6,0,,2016-08-19
251,379,61.7,0,,2016-08-20
252,380,62.2,0,,2016-08-21
253,381,61.9,0,,2016-08-22
254,382,61.6,0,,2016-08-23
255,383,61.9,0,,2016-08-24
256,384,62.1,0,,2016-08-25
257,385,61.8,0,,2016-08-26
258,386,61.4,0,,2016-08-27
259,387,61.9,0,,2016-08-28
260,388,61.5,0,,2016-08-29
261,389,61.3,0,,2016-08-30
262,390,61.4,0,,2016-08-31
263,391,61.4,0,,2016-09-01
264,392,61.3,0,,2016-09-02
265,393,61.6,0,,2016-09-03
266,394,61.7,0,,2016-09-04
267,395,62.2,0,,2016-09-05
268,396,61.8,0,,2016-09-06
269,397,61.5,0,,2016-09-07
270,398,61.4,0,,2016-09-08
271,399,61.9,0,,2016-09-09
272,400,61.9,0,,2016-09-10
273,401,61.6,0,,2016-09-11
274,402,61.4,0,,2016-09-12
275,403,62.0,0,,2016-09-13
276,404,61.8,0,,2016-09-14
277,405,62.1,0,,2016-09-15
278,406,62.4,0,,2016-09-16
279,407,61.9,0,,2016-09-17
280,408,61.8,0,,2016-09-18
281,409,62.2,0,,2016-09-19
282,410,62.1,0,,2016-09-20
283,411,61.4,0,,2016-09-21
284,412,61.8,0,,2016-09-22
285,413,62.0,0,,2016-09-23
286,414,61.7,0,,2016-09-24
287,415,61.6,0,,2016-09-25
288,416,61.7,0,,2016-09-26
289,417,61.7,0,,2016-09-27
290,418,61.4,0,,2016-09-28
291,419,61.7,0,,2016-09-29
292,420,61.7,30-09-16,,2016-09-30
293,421,63.8,04-10-16,hochzeit michael und adriana,2016-10-04
294,422,62.9,0,,2016-10-11
295,423,62.6,0,,2016-10-12
296,424,62.0,0,,2016-10-13
297,425,61.9,0,,2016-10-14
298,426,61.6,0,,2016-10-15
299,427,62.0,0,,2016-10-16
300,428,62.1,0,,2016-10-17
301,429,61.9,0,,2016-10-18
302,430,61.6,0,,2016-10-19
303,431,61.2,0,,2016-10-20
304,432,62.5,0,,2016-10-21
305,433,62.6,0,,2016-10-22
306,434,61.8,0,,2016-10-23
307,435,61.8,0,,2016-10-24
308,436,61.8,0,,2016-10-25
309,437,62.3,0,,2016-10-26
310,438,62.0,0,,2016-10-27
311,439,62.6,0,,2016-10-28
312,440,62.0,0,,2016-10-29
313,441,61.8,0,,2016-10-30
314,442,62.5,0,,2016-10-31
315,443,62.5,0,,2016-11-01
316,444,62.8,0,,2016-11-02
317,445,62.0,0,,2016-11-03
318,446,62.1,0,,2016-11-04
319,447,62.1,0,,2016-11-05
320,448,62.2,0,,2016-11-06
321,449,62.1,0,,2016-11-07
322,450,62.3,0,,2016-11-08
323,451,62.1,0,,2016-11-09
324,452,62.0,0,,2016-11-10
325,453,62.0,0,,2016-11-11
326,454,61.7,0,,2016-11-12
327,455,62.5,0,,2016-11-13
328,456,62.2,0,,2016-11-14
329,457,62.4,0,,2016-11-15
330,458,62.4,0,,2016-11-16
331,459,62.3,0,,2016-11-17
332,460,61.8,0,,2016-11-18
333,461,61.9,0,,2016-11-19
334,462,61.9,0,,2016-11-20
335,463,62.2,0,,2016-11-21
336,464,62.0,0,,2016-11-22
337,465,62.0,0,,2016-11-23
338,466,62.4,0,,2016-11-24
339,467,61.8,0,,2016-11-25
340,468,61.9,0,,2016-11-26
341,469,62.2,0,,2016-11-27
342,470,62.0,0,,2016-11-28
343,471,62.7,0,,2016-11-29
344,472,62.6,0,,2016-11-30
345,473,62.4,0,,2016-12-01
346,474,62.0,0,,2016-12-02
347,475,62.0,0,,2016-12-03
348,476,63.3,0,geburtstagsvoellerei,2016-12-04
349,477,63.1,5-12-16,,2016-12-05
350,478,62.1,0,,2016-12-10
351,479,62.6,0,,2016-12-11
352,480,62.7,0,,2016-12-12
353,481,63.0,0,,2016-12-13
354,482,62.9,0,,2016-12-14
355,483,62.8,0,,2016-12-15
356,484,63.7,0,,2016-12-16
357,485,63.0,0,,2016-12-17
358,486,63.7,18-12-16,manu-party,2016-12-18
359,487,63.0,0,,2016-12-20
360,487,62.6,0,,2016-12-21
361,487,63.3,0,,2016-12-22
362,487,63.1,23-12-16,,2016-12-23
363,487,62.9,0,,2016-12-25
364,487,63.1,26-12-16,,2016-12-26
365,487,62.0,27-12-16,,2016-12-27
366,487,62.6,28-12-16,,2016-12-28
367,487,63.3,29-12-16,,2016-12-29
