Index,date,weight,comments
227,2016-02-22,62.1,
228,2016-02-23,62.4,
229,2016-02-24,61.9,
230,2016-02-25,62.4,
231,2016-02-26,62.4,
232,2016-02-27,62.0,
233,2016-02-28,61.4,
234,2016-02-29,62.3,
235,2016-03-01,61.7,
236,2016-03-02,62.2,
237,2016-03-03,61.0,
238,2016-03-04,61.4,
239,2016-03-05,61.6,
240,2016-03-06,62.2,
241,2016-03-07,62.3,
242,2016-03-08,62.1,
243,2016-03-09,62.1,
244,2016-03-10,61.4,
245,2016-03-11,61.8,
246,2016-03-12,62.2,
247,2016-03-13,62.0,
248,2016-03-14,62.4,
249,2016-03-15,61.6,
250,2016-03-16,62.0,
251,2016-03-17,62.0,
252,2016-03-18,62.1,
253,2016-03-19,62.0,
254,2016-03-20,62.4,
255,2016-03-21,63.4,
256,2016-03-22,62.5,
257,2016-03-23,63.4,
258,2016-03-24,62.8,
259,2016-03-25,62.4,
260,2016-03-26,62.1,
261,2016-03-27,63.4,
262,2016-03-28,62.8,
263,2016-03-29,62.7,
264,2016-03-30,63.1,
265,2016-03-31,63.0,
266,2016-04-01,62.4,
267,2016-04-02,62.1,
268,2016-04-03,62.9,
269,2016-04-04,61.9,
270,2016-04-05,63.6,
271,2016-04-06,63.4,
272,2016-04-07,62.4,
273,2016-04-08,62.3,
274,2016-04-09,62.5,
275,2016-04-10,62.3,
276,2016-04-11,62.4,
277,2016-04-12,62.9,
278,2016-04-13,62.1,
279,2016-04-14,62.9,
280,2016-04-15,62.9,
281,2016-04-16,62.9,
282,2016-04-17,62.6,
283,2016-04-18,62.1,
284,2016-04-19,62.1,
285,2016-04-20,62.2,
286,2016-04-21,63.1,
287,2016-04-22,62.9,
288,2016-04-23,62.5,
289,2016-04-24,62.3,
290,2016-04-25,62.7,
291,2016-04-26,62.6,
292,2016-04-27,62.4,
293,2016-04-28,62.3,
294,2016-04-29,62.1,
295,2016-04-30,62.3,
296,2016-05-01,62.3,
297,2016-05-02,61.9,
298,2016-05-03,61.8,
299,2016-05-04,61.6,
300,2016-05-05,62.1,
301,2016-05-16,63.1,
302,2016-05-21,63.3,
303,2016-05-22,63.3,
304,2016-05-23,63.0,
305,2016-05-24,63.1,
306,2016-05-25,63.1,
307,2016-05-26,62.5,
308,2016-05-27,62.5,
309,2016-05-28,62.4,
310,2016-05-29,62.4,
311,2016-05-30,61.7,
312,2016-05-31,62.1,
313,2016-06-01,63.4,
314,2016-06-02,62.9,
315,2016-06-03,62.1,
316,2016-06-04,62.2,
317,2016-06-05,62.5,
318,2016-06-06,63.0,
319,2016-06-07,62.7,
320,2016-06-08,62.0,
321,2016-06-09,62.5,
322,2016-06-10,62.3,
323,2016-06-11,62.1,
324,2016-06-12,61.8,
325,2016-06-13,62.5,
326,2016-06-14,62.5,
327,2016-06-15,63.1,
328,2016-06-16,62.1,
329,2016-06-17,62.8,
330,2016-06-18,62.1,
331,2016-06-19,62.3,
332,2016-06-20,62.5,
333,2016-06-21,63.5,
334,2016-06-22,62.7,
335,2016-06-23,62.5,
336,2016-06-24,62.5,
337,2016-06-25,62.1,
338,2016-06-26,63.3,
339,2016-06-27,62.6,
340,2016-06-28,62.3,
341,2016-06-29,62.5,
342,2016-06-30,62.1,
343,2016-07-01,63.2,
344,2016-07-02,62.4,
345,2016-07-03,62.0,
346,2016-07-04,62.5,
347,2016-07-05,62.3,
348,2016-07-06,63.9,
349,2016-07-07,61.4,
350,2016-07-08,62.5,
351,2016-07-09,63.3,
352,2016-07-10,62.5,
353,2016-07-11,62.9,
354,2016-07-12,62.5,
355,2016-07-13,62.9,
356,2016-07-14,63.1,
357,2016-07-15,62.7,
358,2016-07-16,63.1,
359,2016-07-17,62.9,
360,2016-07-18,63.0,
361,2016-07-19,62.4,
362,2016-07-20,62.0,
363,2016-07-21,62.2,
364,2016-07-22,62.0,
365,2016-07-23,61.9,
366,2016-07-24,61.6,
367,2016-07-25,62.0,
368,2016-07-26,62.3,
369,2016-07-27,62.6,
370,2016-07-28,62.9,
371,2016-07-29,61.7,
372,2016-07-30,61.6,
373,2016-07-31,61.9,
374,2016-08-01,61.4,
375,2016-08-02,61.3,
376,2016-08-03,61.6,
377,2016-08-04,61.3,
378,2016-08-05,61.4,
379,2016-08-06,61.4,
380,2016-08-07,61.2,
381,2016-08-08,61.1,
382,2016-08-09,61.0,
383,2016-08-10,61.7,
384,2016-08-11,61.6,
385,2016-08-12,61.4,
386,2016-08-13,61.8,
387,2016-08-14,61.6,
388,2016-08-15,61.8,
389,2016-08-16,62.3,
390,2016-08-17,61.9,
391,2016-08-18,61.7,
392,2016-08-19,61.6,
393,2016-08-20,61.7,
394,2016-08-21,62.2,
395,2016-08-22,61.9,
396,2016-08-23,61.6,
397,2016-08-24,61.9,
398,2016-08-25,62.1,
399,2016-08-26,61.8,
400,2016-08-27,61.4,
401,2016-08-28,61.9,
402,2016-08-29,61.5,
403,2016-08-30,61.3,
404,2016-08-31,61.4,
405,2016-09-01,61.4,
406,2016-09-02,61.3,
407,2016-09-03,61.6,
408,2016-09-04,61.7,
409,2016-09-05,62.2,
410,2016-09-06,61.8,
411,2016-09-07,61.5,
412,2016-09-08,61.4,
413,2016-09-09,61.9,
414,2016-09-10,61.9,
415,2016-09-11,61.6,
416,2016-09-12,61.4,
417,2016-09-13,62.0,
418,2016-09-14,61.8,
419,2016-09-15,62.1,
420,2016-09-16,62.4,
421,2016-09-17,61.9,
422,2016-09-18,61.8,
423,2016-09-19,62.2,
424,2016-09-20,62.1,
425,2016-09-21,61.4,
426,2016-09-22,61.8,
427,2016-09-23,62.0,
428,2016-09-24,61.7,
429,2016-09-25,61.6,
430,2016-09-26,61.7,
431,2016-09-27,61.7,
432,2016-09-28,61.4,
433,2016-09-29,61.7,
434,2016-09-30,61.7,
435,2016-10-04,63.8,hochzeit michael und adriana
436,2016-10-11,62.9,
437,2016-10-12,62.6,
438,2016-10-13,62.0,
439,2016-10-14,61.9,
440,2016-10-15,61.6,
441,2016-10-16,62.0,
442,2016-10-17,62.1,
443,2016-10-18,61.9,
444,2016-10-19,61.6,
445,2016-10-20,61.2,
446,2016-10-21,62.5,
447,2016-10-22,62.6,
448,2016-10-23,61.8,
449,2016-10-24,61.8,
450,2016-10-25,61.8,
451,2016-10-26,62.3,
452,2016-10-27,62.0,
453,2016-10-28,62.6,
454,2016-10-29,62.0,
455,2016-10-30,61.8,
456,2016-10-31,62.5,
457,2016-11-01,62.5,
458,2016-11-02,62.8,
459,2016-11-03,62.0,
460,2016-11-04,62.1,
461,2016-11-05,62.1,
462,2016-11-06,62.2,
463,2016-11-07,62.1,
464,2016-11-08,62.3,
465,2016-11-09,62.1,
466,2016-11-10,62.0,
467,2016-11-11,62.0,
468,2016-11-12,61.7,
469,2016-11-13,62.5,
470,2016-11-14,62.2,
471,2016-11-15,62.4,
472,2016-11-16,62.4,
473,2016-11-17,62.3,
474,2016-11-18,61.8,
475,2016-11-19,61.9,
476,2016-11-20,61.9,
477,2016-11-21,62.2,
478,2016-11-22,62.0,
479,2016-11-23,62.0,
480,2016-11-24,62.4,
481,2016-11-25,61.8,
482,2016-11-26,61.9,
483,2016-11-27,62.2,
484,2016-11-28,62.0,
485,2016-11-29,62.7,
486,2016-11-30,62.6,
487,2016-12-01,62.4,
488,2016-12-02,62.0,
489,2016-12-03,62.0,
490,2016-12-04,63.3,geburtstagsvoellerei
491,2016-12-05,63.1,
492,2016-12-10,62.1,
493,2016-12-11,62.6,
494,2016-12-12,62.7,
495,2016-12-13,63.0,
496,2016-12-14,62.9,
497,2016-12-15,62.8,
498,2016-12-16,63.7,
499,2016-12-17,63.0,
500,2016-12-18,63.7,manu-party
501,2016-12-20,63.0,
502,2016-12-21,62.6,
503,2016-12-22,63.3,
504,2016-12-23,63.1,
505,2016-12-25,62.9,
506,2016-12-26,63.1,
507,2016-12-27,62.0,
508,2016-12-28,62.6,
509,2016-12-29,63.3,
510,2016-12-30,63.3,
511,2016-12-31,63.0,
